product_id,product_name,vintage_label,evidence_id,source_domain,source_type,source_url,ocr_priority,ocr_gap_category,capture_status,processed_status,model_route,model_status,review_status,recommended_next_action,missing_fields,candidate_only,manual_verified
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,flickr_oreo_1960s,www.flickr.com,panel_crop,https://www.flickr.com/photos/jasonliebigstuff/4635007453,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1990s,flickr_oreo_1993,www.flickr.com,panel_crop,https://www.flickr.com/photos/jasonliebigstuff/6823914204,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,flickr_oreo_1960s_box,www.flickr.com,panel_crop,https://www.flickr.com/photos/jasonliebigstuff/4210393728,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,packaging_digest_century,www.packagingdigest.com,panel_crop,https://www.packagingdigest.com/packaging-design/oreo-celebrates-century-of-cookie-packaging,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,seattlepi_century,www.seattlepi.com,panel_crop,https://www.seattlepi.com/entertainment/article/a-century-of-oreos-3386488.php,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
campbells_tomato_soup,Campbell's Condensed Tomato Soup,1980s_or_earlier,campbells_tomato_soup_evidence_5,www.ingredientinspector.org,panel_crop,https://www.ingredientinspector.org/home/campbells-tomato-soup-ingredients,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
cheerios_original,Cheerios Original,earliest_verified_label;1980s_or_earlier,cheerios_original_evidence_1,www.flickr.com,panel_crop,https://www.flickr.com/photos/25692985%40N07/3523833856,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
coca_cola_classic,Coca-Cola Classic,earliest_verified_label;1980s_or_earlier,coca_cola_classic_evidence_1,www.flickr.com,panel_crop,https://www.flickr.com/photos/studioz7/29453244726,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
campbells_tomato_soup,Campbell's Condensed Tomato Soup,current_2020s,campbells_tomato_soup_evidence_10,www.campbellsfoodservice.com,panel_crop,https://www.campbellsfoodservice.com/product/tomato-soup-2/?product-pdf=_,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
campbells_tomato_soup,Campbell's Condensed Tomato Soup,current_2020s,campbells_tomato_soup_evidence_7,www.campbells.com,panel_crop,https://www.campbells.com/products/condensed/tomato-soup/,high,panel_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,gpt55_review_batch,planned,needs_source_review,"Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear.","ingredient/nutrition panel crop, including serving size and net-weight if visible",1,0
