product_id,product_name,vintage_label,evidence_id,source_domain,source_type,source_url,ocr_priority,ocr_gap_category,capture_status,processed_status,ocr_status,ocr_line_count,model_route,model_status,review_status,recommended_next_action,missing_fields,candidate_only,manual_verified
tootsie_roll,Tootsie Roll,1940s,cwa_item_triage_tootsie_roll_69b1a8d3ec,www.candywrapperarchive.com,existing_item_page_candidate,https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Privately capture the linked source image and item page, then classify wrapper text, net weight, maker, and panel readability before OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
tootsie_roll,Tootsie Roll,1960s,cwa_item_triage_tootsie_roll_d437c83146,www.candywrapperarchive.com,existing_item_page_candidate,https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Privately capture the linked source image and item page, then classify wrapper text, net weight, maker, and panel readability before OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
kit_kat_bar,Kit Kat Bar,1970s,cwa_item_triage_kit_kat_bar_2a96c86c14,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/1970s-kit-kat/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
kit_kat_bar,Kit Kat Bar,1960s,cwa_item_triage_kit_kat_bar_cc86c0713b,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/1960s-kit-kat/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
milky_way_bar,Milky Way Bar,1939,cwa_item_triage_milky_way_bar_5b9a6ac660,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/1939-milky-way/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
milky_way_bar,Milky Way Bar,1940s,cwa_item_triage_milky_way_bar_95738b0020,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/1940s-milky-way/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
snickers_bar,Snickers Bar,1939,cwa_item_triage_snickers_bar_cb2b9d2221,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/1940s-snickers/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
snickers_bar,Snickers Bar,1940s,cwa_item_triage_snickers_bar_e0fe0f670b,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/1940s-snickers-2/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
twix_bar,Twix Bar,2003,cwa_item_triage_twix_bar_1f274f01fe,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/2003-twix/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
twix_bar,Twix Bar,2002,cwa_item_triage_twix_bar_6267499e6b,www.candywrapperarchive.com,collection_item_candidate,https://www.candywrapperarchive.com/candy-collector/2002-twix/,high,source_page_capture_needed,source_page_capture_blocked_no_network,not_ready_for_ocr,ocr_skipped_no_image,0,spark_packet,packet_ready,needs_source_review,"Open the item page, capture a private source-page screenshot/crop, classify wrapper role and panel readability, then route only readable panels to OCR.",photo_role; panel_readability; private_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,1,0
