run_id,evidence_id,product_id,product_name,vintage_label,source_domain,source_url,source_title,source_type,proof_lane,proof_lane_rank,ocr_gap_category,ocr_priority,capture_strategy,crop_target,ocr_expected_surface,image_map_keys,local_private_image_path,processed_private_image_path,panel_crop_note,rights_review_status,publication_image_policy,candidate_only,manual_verified
confection-wrapper-capture-v1,cwa_capture_snickers_bar_93cbad5c91,snickers_bar,Snickers Bar,1980s_or_earlier;1990s;earliest_verified_label;2000s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/snickers/,Snickers Candy Wrapper Archive,collection_page_existing_lead,collection_index_to_item_page_triage,,source_page_capture_needed,high,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_snickers_bar_93cbad5c91;snickers_bar:cwa_capture_snickers_bar_93cbad5c91;https://www.candywrapperarchive.com/candy-collection/snickers/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_twix_bar_466db4696f,twix_bar,Twix Bar,1980s_or_earlier;1990s;earliest_verified_label;2000s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/twix/,Twix Candy Wrapper Archive collection page,collection_page_existing_lead,collection_index_to_item_page_triage,,source_page_capture_needed,high,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_twix_bar_466db4696f;twix_bar:cwa_capture_twix_bar_466db4696f;https://www.candywrapperarchive.com/candy-collection/twix/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_tootsie_roll_b225c9d1ee,tootsie_roll,Tootsie Roll,1980s_or_earlier;earliest_verified_label,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/,1960s Tootsie Roll candy wrapper - Candy Wrapper Archive,item_page_review,item_page_screenshot_panel_triage,,source_page_capture_needed,high,source_page_screenshot_then_panel_triage,"Capture a private source-page screenshot, then crop wrapper front/back/side panels separately; route to OCR only if ingredient or nutrition text is readable.",package_identity_then_panel_hunt,cwa_capture_tootsie_roll_b225c9d1ee;tootsie_roll:cwa_capture_tootsie_roll_b225c9d1ee;https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_kit_kat_bar_8d46703922,kit_kat_bar,Kit Kat Bar,1980s_or_earlier;earliest_verified_label;2000s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/kit-kat/,Kit Kat Candy Wrapper Archive,collection_page_existing_lead,collection_index_to_item_page_triage,,source_page_capture_needed,high,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_kit_kat_bar_8d46703922;kit_kat_bar:cwa_capture_kit_kat_bar_8d46703922;https://www.candywrapperarchive.com/candy-collection/kit-kat/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_tootsie_roll_d200029915,tootsie_roll,Tootsie Roll,earliest_verified_label,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/,Candy Wrapper Archive 1940s Tootsie Roll wrapper page,item_page_review,item_page_screenshot_panel_triage,,source_page_capture_needed,high,source_page_screenshot_then_panel_triage,"Capture a private source-page screenshot, then crop wrapper front/back/side panels separately; route to OCR only if ingredient or nutrition text is readable.",package_identity_then_panel_hunt,cwa_capture_tootsie_roll_d200029915;tootsie_roll:cwa_capture_tootsie_roll_d200029915;https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_milky_way_bar_07951f26df,milky_way_bar,Milky Way Bar,1980s_or_earlier;earliest_verified_label,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/milky-way/,Milky Way Candy Wrapper Archive,collection_page_existing_lead,collection_index_to_item_page_triage,,source_page_capture_needed,high,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_milky_way_bar_07951f26df;milky_way_bar:cwa_capture_milky_way_bar_07951f26df;https://www.candywrapperarchive.com/candy-collection/milky-way/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_butterfinger_bar_e390ec6ece,butterfinger_bar,Butterfinger Bar,archive lineage source lead,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/butterfinger/,Butterfinger Bar Candy Wrapper Archive collection lead,collection_page_likely_lead,collection_index_to_item_page_triage,,source_page_capture_needed,medium,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_butterfinger_bar_e390ec6ece;butterfinger_bar:cwa_capture_butterfinger_bar_e390ec6ece;https://www.candywrapperarchive.com/candy-collection/butterfinger/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_hersheys_milk_chocolate_bar_1e492997e3,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,archive lineage source lead,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/hershey/,Hershey's Milk Chocolate Bar Candy Wrapper Archive collection lead,collection_page_likely_lead,collection_index_to_item_page_triage,,source_page_capture_needed,medium,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_hersheys_milk_chocolate_bar_1e492997e3;hersheys_milk_chocolate_bar:cwa_capture_hersheys_milk_chocolate_bar_1e492997e3;https://www.candywrapperarchive.com/candy-collection/hershey/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_mms_milk_chocolate_3331ee0f8b,mms_milk_chocolate,M&M's Milk Chocolate Candies,archive lineage source lead,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/mms/,M&M's Milk Chocolate Candies Candy Wrapper Archive collection lead,collection_page_likely_lead,collection_index_to_item_page_triage,,source_page_capture_needed,medium,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_mms_milk_chocolate_3331ee0f8b;mms_milk_chocolate:cwa_capture_mms_milk_chocolate_3331ee0f8b;https://www.candywrapperarchive.com/candy-collection/mms/,,,,rights_review_needed,source_link_only_no_public_image,1,0
confection-wrapper-capture-v1,cwa_capture_reeses_peanut_butter_cups_c3b45584fa,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,archive lineage source lead,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/resses/,Reese's Peanut Butter Cups Candy Wrapper Archive collection lead,collection_page_likely_lead,collection_index_to_item_page_triage,,source_page_capture_needed,medium,collection_index_review_then_item_page_capture,"Review the collection index for item-level wrapper pages by decade; capture only item-level pages or images, not the collection index as a label.",collection_index_to_item_page_hunt,cwa_capture_reeses_peanut_butter_cups_c3b45584fa;reeses_peanut_butter_cups:cwa_capture_reeses_peanut_butter_cups_c3b45584fa;https://www.candywrapperarchive.com/candy-collection/resses/,,,,rights_review_needed,source_link_only_no_public_image,1,0
