run_id,evidence_id,product_id,product_name,vintage_label,source_domain,source_type,proof_lane,proof_lane_rank,ocr_gap_category,ocr_priority,capture_status,processed_status,original_sha256,processed_sha256,cleanup_actions,ready_for_ocr,candidate_only
public-photo-ocr-v1,subway_italian_bmt__2010s__945__1,subway_italian_bmt,Subway Italian B.M.T.,2010s bridge,commons.wikimedia.org,menu_or_nutrition_document,primary_ingredient_panel,1,panel_capture_needed,high,downloaded_direct_image,processed_passthrough,570b94ad23c1e54b7fbc0e0da498c7d84ed1537076157e60d514a43e82e244b4,570b94ad23c1e54b7fbc0e0da498c7d84ed1537076157e60d514a43e82e244b4,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,subway_italian_bmt__earliest_verified_label__945__1,subway_italian_bmt,Subway Italian B.M.T.,Earliest label hunt,commons.wikimedia.org,menu_or_nutrition_document,primary_ingredient_panel,1,panel_capture_needed,high,downloaded_direct_image,processed_passthrough,570b94ad23c1e54b7fbc0e0da498c7d84ed1537076157e60d514a43e82e244b4,570b94ad23c1e54b7fbc0e0da498c7d84ed1537076157e60d514a43e82e244b4,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,7up_original__earliest_verified_label__1069__4,7up_original,7UP Original,Earliest label hunt,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,8b087113490e220315e0ec86be6428cc92ac6819f5d47fb586123bac760fce95,8b087113490e220315e0ec86be6428cc92ac6819f5d47fb586123bac760fce95,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,ball_park_franks__1980s_or_earlier__990__1,ball_park_franks,Ball Park Franks,1980s or earlier lead,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,a698ed2b7ba4cb3c5b406ce111bb5f953468fb52234c48823a82ec274305a22f,a698ed2b7ba4cb3c5b406ce111bb5f953468fb52234c48823a82ec274305a22f,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,ball_park_franks__2010s__984__1,ball_park_franks,Ball Park Franks,2010s bridge,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,b68aa61e2361321d8a80db99579a21c567f06b62c82c145a4d23c09633b54673,b68aa61e2361321d8a80db99579a21c567f06b62c82c145a4d23c09633b54673,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,ball_park_franks__current_2020s__984__10,ball_park_franks,Ball Park Franks,Current SKU anchor,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,b68aa61e2361321d8a80db99579a21c567f06b62c82c145a4d23c09633b54673,b68aa61e2361321d8a80db99579a21c567f06b62c82c145a4d23c09633b54673,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,ball_park_franks__earliest_verified_label__990__1,ball_park_franks,Ball Park Franks,Earliest label hunt,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,a698ed2b7ba4cb3c5b406ce111bb5f953468fb52234c48823a82ec274305a22f,a698ed2b7ba4cb3c5b406ce111bb5f953468fb52234c48823a82ec274305a22f,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,campbells_chicken_noodle_soup__2010s__178__1,campbells_chicken_noodle_soup,Campbell's Chicken Noodle Soup,2010s bridge,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,6efe4d34b0349ba3325e80090ff439572d1e45ae233e15c8918a9ca84f600095,6efe4d34b0349ba3325e80090ff439572d1e45ae233e15c8918a9ca84f600095,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,campbells_tomato_soup_evidence_1,campbells_tomato_soup,Campbell's Condensed Tomato Soup,Earliest bounded chapter; 1980s or earlier,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,d5c60d6dfee574e87895bb785130c5b050c3292407e183c750206799ba74f63c,d5c60d6dfee574e87895bb785130c5b050c3292407e183c750206799ba74f63c,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
public-photo-ocr-v1,coca_cola_classic_evidence_0,coca_cola_classic,Coca-Cola Classic,Earliest bounded chapter; 1980s or earlier,commons.wikimedia.org,licensed_package_photo,secondary_product_context,2,package_identity_review_needed,medium,downloaded_direct_image,processed_passthrough,51b42bc0b44bbe1f10e5700839760ab4cb65927078caf9e18a1503cd1adcda0b,51b42bc0b44bbe1f10e5700839760ab4cb65927078caf9e18a1503cd1adcda0b,download_external_image_privately; copy_for_vision_ocr; defer_crop_deskew_until_panel_coordinates,1,1
