run_id,route_type,route_id,provider,model,status,source_row_count,grouping_policy,evidence_ids,candidate_only
panel-capture-v1,spark_packet,spark_23c1a50f81ee72,codex,gpt-5.3-codex-spark,packet_ready,20,compact,hellmanns_mayonnaise_real__current_2020s__608__4;hersheys_milk_chocolate_bar__current_2020s__25__1;hidden_valley_ranch_original__current_2020s__95__3;honey_nut_cheerios__current_2020s__32__2;hormel_chili_no_beans__current_2020s__894__3;hostess_cupcakes__current_2020s__74__4;twinkies__current_2020s__16__2;hot_pockets_pepperoni_pizza__current_2020s__83__2;jello_strawberry_gelatin__current_2020s__53__3;jif_creamy_peanut_butter__current_2020s__60__3;corn_flakes__current_2020s__39__3;froot_loops__current_2020s__40__2;frosted_flakes__current_2020s__41__2;raisin_bran_kelloggs__current_2020s__111__3;rice_krispies__current_2020s__55__3;kfc_famous_bowl__current_2020s__581__1;kit_kat_bar__current_2020s__61__1;kool_aid_cherry__current_2020s__265__1;kraft_singles_american__current_2020s__78__4;lays_classic__current_2020s__28__2,true
panel-capture-v1,spark_packet,spark_299e7ab9be789d,codex,gpt-5.3-codex-spark,packet_ready,19,compact,lucky_charms__2010s__902__1;mcdonalds_world_famous_fries__2000s__653__2;mcdonalds_world_famous_fries__2010s__653__1;nilla_wafers__2000s__865__1;nilla_wafers__2010s__865__1;nutella_hazelnut_spread__1980s_or_earlier__1034__1;philadelphia_cream_cheese_original__2010s__211__1;pillsbury_crescent_rolls__2010s__694__1;pillsbury_toaster_strudel_strawberry__2000s__675__1;pillsbury_toaster_strudel_strawberry__2010s__676__1;pizza_hut_original_pan_pepperoni__2000s__655__1;pizza_hut_original_pan_pepperoni__2010s__656__1;popeyes_chicken_sandwich__2010s__718__1;grape_nuts__2010s__939__1;pringles_original__2000s__999__1;pringles_original__2010s__999__2;quaker_old_fashioned_oats__2010s__933__1;ritz_original_crackers__2000s__446__1;ritz_original_crackers__2010s__446__2,true
panel-capture-v1,spark_packet,spark_338ae42c13a4a0,codex,gpt-5.3-codex-spark,packet_ready,20,compact,philadelphia_cream_cheese_original__current_2020s__1062__1;pillsbury_crescent_rolls__current_2020s__692__5;pillsbury_toaster_strudel_strawberry__current_2020s__136__1;pizza_hut_original_pan_pepperoni__current_2020s__656__1;poptarts_brown_sugar_cinnamon__current_2020s__43__5;popeyes_chicken_sandwich__current_2020s__667__1;grape_nuts__current_2020s__120__2;pringles_original__current_2020s__48__5;quaker_old_fashioned_oats__current_2020s__1091__3;reeses_peanut_butter_cups__current_2020s__1052__4;rice_krispies_treats_original__current_2020s__112__2;ritz_original_crackers__current_2020s__30__2;ruffles_original__current_2020s__79__3;skippy_creamy_peanut_butter__current_2020s__66__4;skittles_original__current_2020s__113__1;smuckers_strawberry_preserves__current_2020s__892__2;snickers_bar__current_2020s__49__1;spaghettios_original__current_2020s__89__3;spam_classic__current_2020s__67__7;sprite_original__current_2020s__80__2,true
panel-capture-v1,spark_packet,spark_3c06758cb2a869,codex,gpt-5.3-codex-spark,packet_ready,20,compact,7up_original__earliest_verified_label__273__1;capn_crunch_original__1990s__440__2;capn_crunch_original__earliest_verified_label__440__7;chips_ahoy_original__earliest_verified_label__448__3;cinnamon_toast_crunch__earliest_verified_label__512__4;dinty_moore_beef_stew__earliest_verified_label__1059__2;dominos_hand_tossed_pepperoni__earliest_verified_label__785__2;dunkin_glazed_donut__earliest_verified_label__801__1;gatorade_lemon_lime__earliest_verified_label__191__1;hidden_valley_ranch_original__earliest_verified_label__454__2;honey_nut_cheerios__1990s__370__1;honey_nut_cheerios__earliest_verified_label__370__1;hormel_chili_no_beans__earliest_verified_label__677__1;jello_strawberry_gelatin__earliest_verified_label__185__1;froot_loops__1990s__330__1;froot_loops__earliest_verified_label__330__1;frosted_flakes__1990s__405__1;frosted_flakes__earliest_verified_label__405__1;kfc_famous_bowl__earliest_verified_label__700__1;kfc_original_recipe_chicken__earliest_verified_label__765__2,true
panel-capture-v1,spark_packet,spark_5ec7db631984a1,codex,gpt-5.3-codex-spark,packet_ready,20,compact,capn_crunch_original__current_2020s__440__3;cheetos_crunchy__current_2020s__38__2;cheez_it_original__current_2020s__22__4;chef_boyardee_beefaroni__current_2020s__69__1;chick_fil_a_chicken_sandwich__current_2020s__946__2;chips_ahoy_original__current_2020s__409__6;cinnamon_toast_crunch__current_2020s__44__1;cocoa_puffs__current_2020s__76__3;cool_whip_original__current_2020s__118__4;dinty_moore_beef_stew__current_2020s__1058__5;dominos_hand_tossed_pepperoni__current_2020s__571__1;dr_pepper_original__current_2020s__52__4;dunkin_glazed_donut__current_2020s__574__1;eggo_homestyle_waffles__current_2020s__68__2;fig_newtons__current_2020s__58__4;frenchs_yellow_mustard__current_2020s__702__4;fritos_original__current_2020s__77__4;gatorade_lemon_lime__current_2020s__81__3;hamburger_helper_cheeseburger_macaroni__current_2020s__104__3;hebrew_national_franks__current_2020s__133__3,true
panel-capture-v1,spark_packet,spark_73bd2cbb333c83,codex,gpt-5.3-codex-spark,packet_ready,20,compact,lean_cuisine_salisbury_steak__current_2020s__771__5;life_cereal_original__current_2020s__121__2;little_debbie_oatmeal_creme_pies__current_2020s__831__5;little_debbie_swiss_rolls__current_2020s__107__1;lucky_charms__current_2020s__42__1;mms_milk_chocolate__current_2020s__1082__1;mcdonalds_world_famous_fries__current_2020s__498__1;mcdonalds_world_famous_fries__earliest_verified_label__650__3;milky_way_bar__current_2020s__927__5;miracle_whip_original__current_2020s__955__3;mountain_dew_original__current_2020s__34__3;nilla_wafers__current_2020s__64__5;nutella_hazelnut_spread__current_2020s__878__5;oscar_mayer_bologna__current_2020s__822__4;oscar_mayer_wieners__current_2020s__110__2;oscar_mayer_wieners__earliest_verified_label__791__1;panera_broccoli_cheddar_soup__current_2020s__832__3;pearl_milling_pancake_mix_original__current_2020s__742__6;pepperidge_farm_goldfish_cheddar__current_2020s__47__4;pepsi_cola__current_2020s__33__3,true
panel-capture-v1,spark_packet,spark_75440dab21b74f,codex,gpt-5.3-codex-spark,packet_ready,20,compact,bisquick_original__2010s__701__1;cheetos_crunchy__2010s__483__1;chips_ahoy_original__2010s__448__3;cinnamon_toast_crunch__2010s__512__1;dominos_hand_tossed_pepperoni__2010s__785__1;dr_pepper_original__2010s__661__1;dunkin_glazed_donut__2000s__801__1;eggo_homestyle_waffles__2010s__775__1;fig_newtons__2010s__59__1;frenchs_yellow_mustard__2010s__682__2;hidden_valley_ranch_original__2000s__454__1;hidden_valley_ranch_original__2010s__454__1;hormel_chili_no_beans__2010s__677__1;twinkies__2010s__15__1;hot_pockets_pepperoni_pizza__2010s__84__1;kfc_famous_bowl__2010s__700__1;kfc_original_recipe_chicken__2010s__765__1;kit_kat_bar__2010s__906__1;lays_classic__2010s__27__1;lean_cuisine_salisbury_steak__2010s__678__1,true
panel-capture-v1,spark_packet,spark_8bc4bac0f85472,codex,gpt-5.3-codex-spark,packet_ready,20,compact,campbells_tomato_soup_evidence_0;cheerios_original_evidence_5;coca_cola_classic_evidence_4;doritos_nacho_cheese_evidence_0;doritos_nacho_cheese_evidence_1;heinz_tomato_ketchup_evidence_0;kraft_macaroni_and_cheese_original_evidence_0;kraft_macaroni_and_cheese_original_evidence_1;mcdonalds_big_mac_evidence_3;poptarts_frosted_strawberry_evidence_0;doritos_nacho_cheese_evidence_0;heinz_tomato_ketchup_evidence_1;kraft_macaroni_and_cheese_original_evidence_0;mcdonalds_big_mac_evidence_0;mcdonalds_chicken_mcnuggets_evidence_0;poptarts_frosted_strawberry_evidence_0;campbells_tomato_soup_evidence_6;cheerios_original_evidence_7;coca_cola_classic_evidence_2;coca_cola_classic_evidence_5,true
panel-capture-v1,spark_packet,spark_bf38be007ba799,codex,gpt-5.3-codex-spark,packet_ready,20,compact,cheerios_original_evidence_1;coca_cola_classic_evidence_1;flickr_oreo_1993;campbells_tomato_soup_evidence_7;cheerios_original_evidence_8;coca_cola_classic_evidence_6;doritos_nacho_cheese_evidence_7;heinz_tomato_ketchup_evidence_6;kraft_macaroni_and_cheese_original_evidence_8;mcdonalds_big_mac_evidence_1;mcdonalds_big_mac_evidence_5;mcdonalds_chicken_mcnuggets_evidence_2;mcdonalds_chicken_mcnuggets_evidence_7;smartlabel_oreo_143;poptarts_frosted_strawberry_evidence_7;campbells_tomato_soup_evidence_5;cheerios_original_evidence_1;coca_cola_classic_evidence_1;flickr_oreo_1960s;doritos_nacho_cheese_evidence_7,true
panel-capture-v1,spark_packet,spark_c014cd03f6d482,codex,gpt-5.3-codex-spark,packet_ready,20,compact,lucky_charms__earliest_verified_label__276__3;pillsbury_toaster_strudel_strawberry__earliest_verified_label__675__1;pizza_hut_original_pan_pepperoni__earliest_verified_label__655__1;ritz_original_crackers__earliest_verified_label__401__2;spam_classic__earliest_verified_label__733__1;sprite_original__earliest_verified_label__417__1;stouffers_lasagna_meat_sauce__earliest_verified_label__681__1;taco_bell_bean_burrito__earliest_verified_label__798__1;tang_orange__earliest_verified_label__580__1;trix_cereal__earliest_verified_label__208__1;twizzlers_strawberry__earliest_verified_label__687__1;velveeta_shells_and_cheese__earliest_verified_label__680__1;wheaties__earliest_verified_label__638__1;7up_original__current_2020s__263__1;ball_park_franks__current_2020s__916__11;banquet_chicken_pot_pie__current_2020s__130__1;betty_crocker_super_moist_yellow_cake_mix__current_2020s__100__1;bisquick_original__current_2020s__701__3;butterfinger_bar__current_2020s__525__1;campbells_chicken_noodle_soup__current_2020s__530__2,true
