product_id,product_name,brand,category,corpus_scope,vintage_label,version_id,evidence_id,evidence_kind,source_domain,source_url,source_title,source_owner,surface_id,surface_label,surface_role,capture_path_field,proof_lane,proof_lane_rank,panel_acquisition_state,ocr_priority,ocr_gap_category,ocr_access_state,ocr_recommended_action,registry_priority,promotion_blocker,ground_truth_fields_missing,image_reference,ingredient_panel_visible,nutrition_panel_visible,net_weight_visible,capture_strategy,crop_target,ocr_expected_surface,private_image_map_keys,rights_review_status,allowed_public_output,candidate_only,manual_verified
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_bdb8731dc7e98b,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Ingredient panel,Candy Wrapper Archive,ingredient_panel,Ingredient panel,ocr_text_surface,private_ingredient_panel_crop_path,primary_ingredient_panel,1,private_crop_needed,high,panel_capture_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,216,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,needs_review,,,private_ingredient_panel_crop,Crop the ingredient statement with enough package context to preserve product/date cues.,ingredient_panel,cwa_surface_bdb8731dc7e98b;butterfinger_bar:cwa_surface_bdb8731dc7e98b;cwa_capture_round_54bf4d9d9b8d:ingredient_panel;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#ingredient_panel,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_b363dd0d60335c,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Nutrition panel,Candy Wrapper Archive,nutrition_panel,Nutrition panel,ocr_text_surface,private_nutrition_panel_crop_path,primary_nutrition_panel,2,private_crop_needed,high,panel_capture_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,216,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,needs_review,,private_nutrition_panel_crop,Crop the nutrition panel and serving-size text if visible.,nutrition_panel,cwa_surface_b363dd0d60335c;butterfinger_bar:cwa_surface_b363dd0d60335c;cwa_capture_round_54bf4d9d9b8d:nutrition_panel;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#nutrition_panel,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_84d0eb71616be7,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Wrapper back or side text,Candy Wrapper Archive,wrapper_back_or_side,Wrapper back or side text,ocr_text_surface,private_wrapper_back_or_side_crop_path,support_package_text,3,private_crop_needed,medium,readable_panel_photo_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,216,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,,,private_back_or_side_text_crop,"Crop readable wrapper back/side text, prioritizing ingredients, nutrition, net weight, maker, or date cues.",package_back_side_text,cwa_surface_84d0eb71616be7;butterfinger_bar:cwa_surface_84d0eb71616be7;cwa_capture_round_54bf4d9d9b8d:wrapper_back_or_side;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#wrapper_back_or_side,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_a683962b007a91,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Net weight,Candy Wrapper Archive,net_weight,Net weight,ocr_text_surface,private_net_weight_crop_path,support_package_text,4,private_crop_needed,medium,readable_panel_photo_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,216,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,,needs_review,private_net_weight_crop,Crop net weight and package-size text.,net_weight,cwa_surface_a683962b007a91;butterfinger_bar:cwa_surface_a683962b007a91;cwa_capture_round_54bf4d9d9b8d:net_weight;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#net_weight,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_4ca2fc76512393,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Maker or date cue,Candy Wrapper Archive,maker_or_date,Maker or date cue,ocr_text_surface,private_maker_or_date_crop_path,support_package_text,5,private_crop_needed,medium,readable_panel_photo_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,216,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,,,private_maker_or_date_crop,"Crop maker/distributor, copyright, lot, or date cue text.",maker_distributor_or_date_cue,cwa_surface_4ca2fc76512393;butterfinger_bar:cwa_surface_4ca2fc76512393;cwa_capture_round_54bf4d9d9b8d:maker_or_date;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#maker_or_date,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_20807ca6246abf,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Ingredient panel,Candy Wrapper Archive,ingredient_panel,Ingredient panel,ocr_text_surface,private_ingredient_panel_crop_path,primary_ingredient_panel,1,private_crop_needed,high,panel_capture_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,215,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,needs_review,,,private_ingredient_panel_crop,Crop the ingredient statement with enough package context to preserve product/date cues.,ingredient_panel,cwa_surface_20807ca6246abf;butterfinger_bar:cwa_surface_20807ca6246abf;cwa_capture_round_7f9a71c59f94:ingredient_panel;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#ingredient_panel,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_3e9fb8bd823a85,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Nutrition panel,Candy Wrapper Archive,nutrition_panel,Nutrition panel,ocr_text_surface,private_nutrition_panel_crop_path,primary_nutrition_panel,2,private_crop_needed,high,panel_capture_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,215,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,needs_review,,private_nutrition_panel_crop,Crop the nutrition panel and serving-size text if visible.,nutrition_panel,cwa_surface_3e9fb8bd823a85;butterfinger_bar:cwa_surface_3e9fb8bd823a85;cwa_capture_round_7f9a71c59f94:nutrition_panel;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#nutrition_panel,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_b6b7bb8b5a98d5,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Wrapper back or side text,Candy Wrapper Archive,wrapper_back_or_side,Wrapper back or side text,ocr_text_surface,private_wrapper_back_or_side_crop_path,support_package_text,3,private_crop_needed,medium,readable_panel_photo_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,215,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,,,private_back_or_side_text_crop,"Crop readable wrapper back/side text, prioritizing ingredients, nutrition, net weight, maker, or date cues.",package_back_side_text,cwa_surface_b6b7bb8b5a98d5;butterfinger_bar:cwa_surface_b6b7bb8b5a98d5;cwa_capture_round_7f9a71c59f94:wrapper_back_or_side;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#wrapper_back_or_side,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_dca02008554124,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Net weight,Candy Wrapper Archive,net_weight,Net weight,ocr_text_surface,private_net_weight_crop_path,support_package_text,4,private_crop_needed,medium,readable_panel_photo_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,215,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,,needs_review,private_net_weight_crop,Crop net weight and package-size text.,net_weight,cwa_surface_dca02008554124;butterfinger_bar:cwa_surface_dca02008554124;cwa_capture_round_7f9a71c59f94:net_weight;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#net_weight,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
butterfinger_bar,Butterfinger Bar,,candy,confection_wrapper_capture_round,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_c1f792333d347e,cwa_private_capture_surface,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Maker or date cue,Candy Wrapper Archive,maker_or_date,Maker or date cue,ocr_text_surface,private_maker_or_date_crop_path,support_package_text,5,private_crop_needed,medium,readable_panel_photo_needed,private_crop_path_needed,Fill the private crop path after capture; build private image-map input; run native OCR only if the text is readable.,215,Candidate-only: surface crop must be OCRed/transcribed and manually verified before any ingredient claim.,private_surface_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,,,,private_maker_or_date_crop,"Crop maker/distributor, copyright, lot, or date cue text.",maker_distributor_or_date_cue,cwa_surface_c1f792333d347e;butterfinger_bar:cwa_surface_c1f792333d347e;cwa_capture_round_7f9a71c59f94:maker_or_date;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#maker_or_date,rights_review_needed,"source receipt, public hashes/status only; no private paths, images, OCR text, or verified ingredient claims",1,0
