product_id,product_name,evidence_id,ocr_priority,ocr_readiness,ocr_recommended_action,source_status,source_kind,source_owner,source_url,source_title,rights_note,photo_role,label_panel_state,package_front_visible,ingredient_panel_visible,nutrition_panel_visible,net_weight_visible,manufacturer_visible,needs_panel_review,ingredient_signal,linked_vintages,linked_versions
campbells_tomato_soup,Campbell's Condensed Tomato Soup,campbells_tomato_soup_evidence_10,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,current_web_page,www.campbellsfoodservice.com,https://www.campbellsfoodservice.com/product/tomato-soup-2/?product-pdf=_,Campbell's Condensed Tomato Soup 23.2 oz family size product PDF,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible; net weight visible,true,true,false,true,false,false,true,current_2020s,current_2020s
campbells_tomato_soup,Campbell's Condensed Tomato Soup,campbells_tomato_soup_evidence_5,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,current_web_page,www.ingredientinspector.org,https://www.ingredientinspector.org/home/campbells-tomato-soup-ingredients,Ingredient Inspector Campbell's Tomato Soup ingredients article,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible,true,true,false,false,false,false,true,1980s_or_earlier,1980s_or_earlier
campbells_tomato_soup,Campbell's Condensed Tomato Soup,campbells_tomato_soup_evidence_7,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,current_web_page,www.campbells.com,https://www.campbells.com/products/condensed/tomato-soup/,Campbell's Condensed Tomato Soup 10.75 oz current product page,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible; net weight visible,true,true,false,true,true,false,true,current_2020s,current_2020s
campbells_tomato_soup,Campbell's Condensed Tomato Soup,campbells_tomato_soup_evidence_8,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,current_web_page,www.campbells.com,https://www.campbells.com/products/condensed/family-size-tomato-soup/,Campbell's Tomato Soup current product page,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible; nutrition panel visible,true,true,true,false,false,false,true,current_2020s,current_2020s
campbells_tomato_soup,Campbell's Condensed Tomato Soup,campbells_tomato_soup_evidence_9,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,current_web_page,www.campbells.com,https://www.campbells.com/tomato-soup/,Tomato Soup - The Campbell's Company,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible,true,true,false,false,false,false,true,current_2020s,current_2020s
cheerios_original,Cheerios Original,cheerios_original_evidence_1,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,collector_package_photo,www.flickr.com,https://www.flickr.com/photos/25692985%40N07/3523833856,1985 General Mills Cheerios Cereal Box Back - Flickr,All rights reserved,package or source evidence,ingredient panel visible,true,true,false,false,false,false,true,earliest_verified_label;1980s_or_earlier,earliest_verified_label;1980s_or_earlier
cheerios_original,Cheerios Original,cheerios_original_evidence_8,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,current_web_page,www.cheerios.com,https://www.cheerios.com/products/original-cheerios,Original Cheerios - Cheerios,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible; net weight visible,true,true,false,true,true,false,true,current_2020s,current_2020s
coca_cola_classic,Coca-Cola Classic,coca_cola_classic_evidence_1,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,collector_package_photo,www.flickr.com,https://www.flickr.com/photos/studioz7/29453244726,1960s Coca-Cola syrup label collector photo,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible,true,true,false,false,false,false,true,earliest_verified_label;1980s_or_earlier,earliest_verified_label;1980s_or_earlier
coca_cola_classic,Coca-Cola Classic,coca_cola_classic_evidence_6,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,brand_label_page,www.coca-cola.com,https://www.coca-cola.com/us/en/brands/coca-cola/products/original?redirect=true,Coca-Cola Original Soda current US product page,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible; nutrition panel visible,true,true,true,false,false,false,true,current_2020s,current_2020s
doritos_nacho_cheese,Doritos Nacho Cheese,doritos_nacho_cheese_evidence_10,high,capture_or_attach_panel_crop_then_ocr,capture_or_attach_panel_crop_then_ocr,label_visible,brand_label_page,smartlabel.pepsico.info,https://smartlabel.pepsico.info/028400017305-0007-en-US/index.html,Doritos Nacho Cheese SmartLabel current page,"External source; link for attribution, do not reproduce imagery without rights review.",package or source evidence,ingredient panel visible,true,true,false,false,false,false,true,current_2020s,current_2020s
