product_id,product_name,evidence_id,status,kind,source,title,url,label_panel_state,quality_note,rights
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,smartlabel_oreo_143,label_text_candidate,brand_label_page,smartlabel.mondelez.info,Nabisco Oreo Sandwich Cookies 14.3 oz - SmartLabel,https://smartlabel.mondelez.info/00044000033262-0001-en-US/index.html,ingredient text candidate,"Good current label candidate, but not a reviewed historical formulation version.",External source; rights note needed before reproducing imagery.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,ewg_oreo_current,label_text_candidate,label_database_record,www.ewg.org,EWG Food Scores - Oreo Chocolate Original Flavor Sandwich Cookies,https://www.ewg.org/foodscores/products/0044000051617-OreoChocolateOriginalFlavorSandwichCookies/,ingredient text candidate,Useful for review queue; not manual ground truth.,External source; use as citation link.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,kroger_oreo_current,label_text_candidate,retailer_page,www.kroger.com,"OREO Chocolate Sandwich Cookies, 14.3 oz - Kroger",https://www.kroger.com/p/nabisco-original-oreos/0004400003202,ingredient text candidate,Current SKU/package evidence; compare only after durable capture and review.,External source; current-web evidence needs durable capture.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,walmart_oreo_current,label_text_candidate,retailer_page,business.walmart.com,Oreo Original Cookie 13.29 oz - Walmart Business,https://business.walmart.com/ip/Oreo-Original-Cookie-13-29-oz/16255757318,ingredient text candidate,"13.29 oz package-size hint improves package map, not formulation history.",External source; current-web evidence needs durable capture.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,ewg_oreo_winter_2010,label_text_candidate,label_database_record,www.ewg.org,"EWG Food Scores - Oreo Chocolate Sandwich Cookies, Original, Winter",https://www.ewg.org/foodscores/products/044000081034-OreoChocolateSandwichCookiesOriginalWinter/,ingredient text candidate,High-priority candidate for manual correction because it exposes package-derived ingredients.,External source; use as citation link.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_spring_2010,usable_photo,collector_package_photo,www.flickr.com,"Nabisco Oreo Spring edition cookie package, 2010 - Flickr",https://www.flickr.com/photos/jasonliebigstuff/4359618633,panel not verified readable,Good visual package anchor; ingredient panel still needs review.,Collector photo; inspect license/rights before reuse.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_nascar_2010,usable_photo,collector_package_photo,www.flickr.com,"Nabisco Oreo Nascar Edition cookie package, 2010 - Flickr",https://www.flickr.com/photos/jasonliebigstuff/4786235805,panel not verified readable,Good visual package anchor; ingredient panel still needs review.,Collector photo; inspect license/rights before reuse.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_harley_2000,usable_photo,collector_package_photo,www.flickr.com,"Nabisco Oreo Win Harley-Davidson cookie box, 2000 - Flickr",https://www.flickr.com/photos/jasonliebigstuff/6823913378,panel not verified readable,Special-edition package lead; separate variant identity before comparison.,Collector photo; inspect license/rights before reuse.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_uhoh_2002,usable_photo,collector_package_photo,www.flickr.com,"Nabisco Uh-Oh! Oreo cookies package, 2002-2003 - Flickr",https://www.flickr.com/photos/jasonliebigstuff/4777043511,panel not verified readable,"Variant package lead; useful for map density, not ingredient claims.",Collector photo; inspect license/rights before reuse.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_1993,label_text_candidate,collector_package_photo,www.flickr.com,Nabisco - Oreo - 6-pack cookie pack - 1993 - Flickr,https://www.flickr.com/photos/jasonliebigstuff/6823914204,ingredient/nutrition panel visible in supplied screenshot,High-value 1990s label candidate; source image confirmation and reviewer correction still required.,Collector photo; inspect license/rights before reuse.
