candidate_id,parent_capture_evidence_id,parent_source_review_task_id,product_id,product_name,source_domain,source_collection_url,item_url,item_title,claimed_date_text,claimed_year,claimed_decade,thumbnail_url,source_image_url,candidate_type,candidate_rank,candidate_priority_score,panel_review_state,photo_role_expected,capture_strategy,ingredient_claim_status,next_action,publication_image_policy,rights_review_status,source_note,candidate_only,manual_verified
cwa_item_tootsie_roll_7ed1e97a54,cwa_capture_tootsie_roll_d200029915,cwa_tootsie_roll_c3653b2d6e,tootsie_roll,Tootsie Roll,www.candywrapperarchive.com,,https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/,1940s Tootsie Roll,1940s,,1940s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image209_th.jpg,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image209.jpg,existing_item_page_candidate,1,128,needs_panel_readability_review,wrapper_item_page_with_possible_package_text,private_item_page_screenshot_then_panel_triage,blocked_pending_readable_panel,"Capture private screenshot/crop and classify visible wrapper text, net weight, maker, date cue, and panel readability.",source_link_only_no_public_image,rights_review_needed,"Item page states: 1940s, Tootsie Roll, Sweets Company of America Inc, USA, 1 1/2oz.",1,0
cwa_item_tootsie_roll_b5e8a99946,cwa_capture_tootsie_roll_b225c9d1ee,cwa_tootsie_roll_38029af7c2,tootsie_roll,Tootsie Roll,www.candywrapperarchive.com,,https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/,1960s Tootsie Roll,1960s,,1960s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image997_th.jpg,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image997.jpg,existing_item_page_candidate,1,128,needs_panel_readability_review,wrapper_item_page_with_possible_package_text,private_item_page_screenshot_then_panel_triage,blocked_pending_readable_panel,"Capture private screenshot/crop and classify visible wrapper text, net weight, maker, date cue, and panel readability.",source_link_only_no_public_image,rights_review_needed,"Item page states: 1960s, Tootsie Roll, Tootsie Roll Industries Inc, USA, 1 3/4oz.",1,0
cwa_item_kit_kat_bar_bd63e20e01,cwa_capture_kit_kat_bar_8d46703922,cwa_kit_kat_bar_e6d313c911,kit_kat_bar,Kit Kat Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/kit-kat/,https://www.candywrapperarchive.com/candy-collector/1960s-kit-kat/,1960s Kit Kat,1960s,,1960s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image25_th.jpg,,collection_item_candidate,1,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
cwa_item_kit_kat_bar_72bb08021d,cwa_capture_kit_kat_bar_8d46703922,cwa_kit_kat_bar_e6d313c911,kit_kat_bar,Kit Kat Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/kit-kat/,https://www.candywrapperarchive.com/candy-collector/1970s-kit-kat/,1970s Kit Kat,1970s,,1970s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image29_th.jpg,,collection_item_candidate,2,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
cwa_item_milky_way_bar_0c56536fd5,cwa_capture_milky_way_bar_07951f26df,cwa_milky_way_bar_3cfb33623b,milky_way_bar,Milky Way Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/milky-way/,https://www.candywrapperarchive.com/candy-collector/1939-milky-way/,1939 Milky Way,1939,1939,1930s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image403_th.jpg,,collection_item_candidate,1,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
cwa_item_milky_way_bar_096dd709da,cwa_capture_milky_way_bar_07951f26df,cwa_milky_way_bar_3cfb33623b,milky_way_bar,Milky Way Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/milky-way/,https://www.candywrapperarchive.com/candy-collector/1940s-milky-way/,1940s Milky Way,1940s,,1940s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image722_th.jpg,,collection_item_candidate,2,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
cwa_item_snickers_bar_55b6c9b7cd,cwa_capture_snickers_bar_93cbad5c91,cwa_snickers_bar_3a5b272b95,snickers_bar,Snickers Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/snickers/,https://www.candywrapperarchive.com/candy-collector/1940s-snickers-2/,1940s Snickers,1940s,,1940s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image363_th.jpg,,collection_item_candidate,2,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
cwa_item_snickers_bar_03dea8d8c5,cwa_capture_snickers_bar_93cbad5c91,cwa_snickers_bar_3a5b272b95,snickers_bar,Snickers Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/snickers/,https://www.candywrapperarchive.com/candy-collector/1940s-snickers/,1939 Snickers,1939,1939,1930s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image167_th.jpg,,collection_item_candidate,1,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
cwa_item_twix_bar_bb35b83528,cwa_capture_twix_bar_466db4696f,cwa_twix_bar_af7683d09d,twix_bar,Twix Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/twix/,https://www.candywrapperarchive.com/candy-collector/2002-twix/,2002 Twix,2002,2002,2000s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image289_th.jpg,,collection_item_candidate,1,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
cwa_item_twix_bar_e3ea9ff2f2,cwa_capture_twix_bar_466db4696f,cwa_twix_bar_af7683d09d,twix_bar,Twix Bar,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/twix/,https://www.candywrapperarchive.com/candy-collector/2003-twix/,2003 Twix,2003,2003,2000s,https://www.candywrapperarchive.com/wp-content/uploads/2013/02/Image602_th.jpg,,collection_item_candidate,2,108,needs_panel_readability_review,wrapper_front_or_package_context_first,open_item_page_then_private_screenshot_panel_triage,blocked_pending_readable_panel,"Open item page, capture private page/wrapper crop, classify whether any ingredient or nutrition panel is readable.",source_link_only_no_public_image,rights_review_needed,,1,0
