product_id,evidence_id,source_url,source_title,source_owner,claimed_product_date,public_image_url,thumbnail_url,rights_status,license_url,attribution_text,reviewer,reviewed_at,image_display_policy,review_notes
7up_original,7up_original__earliest_verified_label__1069__4,https://commons.wikimedia.org/wiki/File%3AOld_7_UP_bottles.jpg,Old 7 UP bottles - Wikimedia Commons,Wikimedia Commons / Lynette,Commons page crawled 2026-06; uploaded circa 2010; Commons DateTimeOriginal 2010-07-20; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/1/15/Old_7_UP_bottles.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Old_7_UP_bottles.jpg/960px-Old_7_UP_bottles.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,"Lynette / https://www.flickr.com/photos/51981051@N08/4815400077/ via Wikimedia Commons, CC BY 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
ball_park_franks,ball_park_franks__1980s_or_earlier__990__1,https://commons.wikimedia.org/wiki/File%3AVintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons 1976 Ball Park Franks vintage ad,"Wikimedia Commons / Jamie from Toronto, ON",Observed in current web search on 2026-06-05; result identified 1976 advertisement category and Flickr source metadata.; Commons DateTimeOriginal 2009-04-05 21:34; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,"Jamie from Toronto, ON / Vintage Ad #780: Baseball Fans Guide to Ball Park Franks via Wikimedia Commons, CC BY 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
ball_park_franks,ball_park_franks__2010s__984__1,https://commons.wikimedia.org/wiki/File%3ABall_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons Ball Park Angus Beef Frank package photo,Wikimedia Commons / Willis Lam,Observed in current web search on 2026-06-05; result identified a Ball Park Angus Beef Frank file page with license metadata.; Commons DateTimeOriginal 2017-07-19 19:43; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg/960px-Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Willis Lam / Ball Park Angus Beef Frank via Wikimedia Commons, CC BY-SA 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
ball_park_franks,ball_park_franks__current_2020s__984__10,https://commons.wikimedia.org/wiki/File%3ABall_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons Ball Park Angus Beef Frank package photo,Wikimedia Commons / Willis Lam,Observed in current web search on 2026-06-05; result identified a Ball Park Angus Beef Frank file page with license metadata.; Commons DateTimeOriginal 2017-07-19 19:43; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg/960px-Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Willis Lam / Ball Park Angus Beef Frank via Wikimedia Commons, CC BY-SA 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
ball_park_franks,ball_park_franks__earliest_verified_label__990__1,https://commons.wikimedia.org/wiki/File%3AVintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons 1976 Ball Park Franks vintage ad,"Wikimedia Commons / Jamie from Toronto, ON",Observed in current web search on 2026-06-05; result identified 1976 advertisement category and Flickr source metadata.; Commons DateTimeOriginal 2009-04-05 21:34; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,"Jamie from Toronto, ON / Vintage Ad #780: Baseball Fans Guide to Ball Park Franks via Wikimedia Commons, CC BY 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
campbells_chicken_noodle_soup,campbells_chicken_noodle_soup__2010s__178__1,https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,Campbell's Chicken Noodle Soup Can Photo - Wikimedia Commons,Wikimedia Commons / Willis Lam,2010-01-01..2019-12-31; Commons DateTimeOriginal 2015-03-13 00:44; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/0/0d/Campbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Campbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Willis Lam / Campbell's Chicken Noodle Soup via Wikimedia Commons, CC BY-SA 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
campbells_tomato_soup,campbells_tomato_soup_evidence_1,https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,Wikimedia Commons Campbell's Condensed Tomato Soup 1905 file page,"Wikimedia Commons / Hill, Janet McKenzie, 1852-1933, ed; Boston Cooking School (Boston, Mass.)",Observed in current web search on 2026-06-05; result identified a 1905 Campbell's Condensed Tomato Soup file page.; Commons DateTimeOriginal 1905; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/6/60/Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg/960px-Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,Wikimedia Commons No restrictions / No known copyright restrictions,https://www.flickr.com/commons/usage/,"Hill, Janet McKenzie, 1852-1933, ed; Boston Cooking School (Boston, Mass.) / https://www.flickr.com/photos/internetarchivebookimages/14770225631/ Source book page: https://archive.org/stream/bostoncookingsch19hill_4/bostoncookingsch19hill_4#page/n644/mode/1up via Wikimedia Commons, No restrictions",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
coca_cola_classic,coca_cola_classic_evidence_0,https://commons.wikimedia.org/wiki/File%3AOld_coca_cola_cans_1952.jpg,Old Coca-Cola cans 1952 - Wikimedia Commons,Wikimedia Commons / Amada44,earliest_verified_label; Commons DateTimeOriginal 2010-08-21 11:32:23; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/0/0c/Old_coca_cola_cans_1952.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Old_coca_cola_cans_1952.jpg/960px-Old_coca_cola_cans_1952.jpg,Wikimedia Commons CC BY-SA 3.0 / Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Amada44 / Own work via Wikimedia Commons, CC BY-SA 3.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
corn_flakes,corn_flakes__2010s__149__1,https://commons.wikimedia.org/wiki/File%3ACorn_flakes_boxes.jpg,Corn Flakes Boxes - Wikimedia Commons,Wikimedia Commons / Tom Ipri,2010-01-01..2019-12-31; Commons DateTimeOriginal 2011-08-08 13:59:17; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/c/c7/Corn_flakes_boxes.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Corn_flakes_boxes.jpg/960px-Corn_flakes_boxes.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Tom Ipri / https://www.flickr.com/photos/tomspix/6059855014/ via Wikimedia Commons, CC BY-SA 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
doritos_nacho_cheese,doritos_nacho_cheese_evidence_6,https://commons.wikimedia.org/wiki/File%3ADoritos_bag.jpg,Doritos bag - Wikimedia Commons,Wikimedia Commons / kundl,Observed in current web search on 2026-06-04; Commons DateTimeOriginal 2009-07-14 17:05; product/package date not independently verified by image import,https://upload.wikimedia.org/wikipedia/commons/4/43/Doritos_bag.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Doritos_bag.jpg/960px-Doritos_bag.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,"kundl / Comida Chatarra Uploaded by JohnnyMrNinja via Wikimedia Commons, CC BY 2.0",codex_commons_metadata_import,2026-06-07,embed_rights_cleared,"Imported from Wikimedia Commons API metadata for URL, license, attribution, and source page. Use as source-attributable photo/context proof only; not ingredient-label verification."
